HomeTeam,AwayTeam,Date,FT,HT
Southampton,Wolves,2025-03-15,1-2,0-1
Man City,Brighton,2025-03-15,2-2,2-1
Bournemouth,Brentford,2025-03-15,1-2,1-1
Everton,West Ham,2025-03-15,1-1,0-0
Ipswich,Nott'm Forest,2025-03-15,2-4,0-3
Leicester,Man United,2025-03-16,0-3,0-1
Arsenal,Chelsea,2025-03-16,1-0,1-0
Fulham,Tottenham,2025-03-16,2-0,0-0
Arsenal,Fulham,2025-04-01,2-1,1-0
Wolves,West Ham,2025-04-01,1-0,1-0
Nott'm Forest,Man United,2025-04-01,1-0,1-0
Bournemouth,Ipswich,2025-04-02,1-2,0-1
Brighton,Aston Villa,2025-04-02,0-3,0-0
Man City,Leicester,2025-04-02,2-0,2-0
Newcastle,Brentford,2025-04-02,2-1,1-0
Southampton,Crystal Palace,2025-04-02,1-1,1-0
Liverpool,Everton,2025-04-02,1-0,0-0
Chelsea,Tottenham,2025-04-03,1-0,0-0
Aston Villa,Nott'm Forest,2025-04-05,2-1,2-0
West Ham,Bournemouth,2025-04-05,2-2,0-1
Everton,Arsenal,2025-04-05,1-1,0-1
Crystal Palace,Brighton,2025-04-05,2-1,1-1
Ipswich,Wolves,2025-04-05,1-2,1-0
Brentford,Chelsea,2025-04-06,0-0,0-0
Fulham,Liverpool,2025-04-06,3-2,3-1
Tottenham,Southampton,2025-04-06,3-1,2-0
Man United,Man City,2025-04-06,0-0,0-0
Leicester,Newcastle,2025-04-07,0-3,0-3
Arsenal,Brentford,2025-04-12,1-1,0-0
Southampton,Aston Villa,2025-04-12,0-3,0-0
Brighton,Leicester,2025-04-12,2-2,1-1
Man City,Crystal Palace,2025-04-12,5-2,2-2
Nott'm Forest,Everton,2025-04-12,0-1,0-0
Chelsea,Ipswich,2025-04-13,2-2,0-2
Liverpool,West Ham,2025-04-13,2-1,1-0
Wolves,Tottenham,2025-04-13,4-2,2-0
Newcastle,Man United,2025-04-13,4-1,1-1
Bournemouth,Fulham,2025-04-14,1-0,1-0
Newcastle,Crystal Palace,2025-04-16,5-0,4-0
Everton,Man City,2025-04-19,0-2,0-0
Aston Villa,Newcastle,2025-04-19,4-1,1-1
West Ham,Southampton,2025-04-19,1-1,0-0
Brentford,Brighton,2025-04-19,4-2,1-1
Crystal Palace,Bournemouth,2025-04-19,0-0,0-0
Leicester,Liverpool,2025-04-20,0-1,0-0
Fulham,Chelsea,2025-04-20,1-2,1-0
Ipswich,Arsenal,2025-04-20,0-4,0-2
Man United,Wolves,2025-04-20,0-1,0-0
Tottenham,Nott'm Forest,2025-04-21,1-2,0-2
Man City,Aston Villa,2025-04-22,2-1,1-1
Arsenal,Crystal Palace,2025-04-23,2-2,2-1
Wolves,Leicester,2025-04-26,3-0,1-0
Southampton,Fulham,2025-04-26,1-2,1-0
Brighton,West Ham,2025-04-26,3-2,1-0
Chelsea,Everton,2025-04-26,1-0,1-0
Newcastle,Ipswich,2025-04-26,3-0,1-0
Bournemouth,Man United,2025-04-27,1-1,1-0
Liverpool,Tottenham,2025-04-27,5-1,3-1
Nott'm Forest,Brentford,2025-05-01,0-2,0-1
Man City,Wolves,2025-05-02,1-0,1-0
Arsenal,Bournemouth,2025-05-03,1-2,1-0
Leicester,Southampton,2025-05-03,2-0,2-0
Aston Villa,Fulham,2025-05-03,1-0,1-0
Everton,Ipswich,2025-05-03,2-2,2-1
Brentford,Man United,2025-05-04,4-3,2-1
Brighton,Newcastle,2025-05-04,1-1,1-0
West Ham,Tottenham,2025-05-04,1-1,1-1
Chelsea,Liverpool,2025-05-04,3-1,1-0
